"region","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Upplands Vasby",24393,25583,27430,29703,31702,33723,33614,33526,34790,35752,36780,36506,36332,36784,37498,38400,39408,41120,42236,43600,43787,44386,44174,46742
"Vallentuna",21156,22255,23690,25194,26894,29911,30646,30645,32103,33753,34903,35411,35567,37339,38129,39881,41203,42883,45058,46539,47583,48426,48673,51159
"Osteraker",23859,25199,26918,29778,31681,34231,33610,33001,34170,35590,37504,37902,38444,39171,40293,41156,41595,42873,42855,42916,42632,43297,42831,43988
"Varmdo",20390,21733,23717,26539,29384,32248,32748,32505,33616,34768,37246,38391,39139,40697,41726,43422,43661,45267,47027,46360,46439,47780,48485,51531
"Jarfalla",24569,26006,27766,29871,31173,33481,34042,34081,35492,35681,36632,35986,36011,36953,37667,39022,39300,40052,41234,42033,42667,43795,43813,46017
"Ekero",25078,25969,28105,29893,31959,35255,33524,33687,35560,37189,39315,40159,40369,41460,42956,44673,45995,47739,49745,53426,52919,53756,56309,56526
"Huddinge",22296,23589,25316,27223,29172,32093,32738,32559,33710,34350,35210,35069,35415,36644,37400,38645,39153,40959,42292,43639,44209,45717,46360,49140
"Botkyrka",22246,23167,24741,25156,25577,26858,27409,27558,28829,29281,30380,30299,30526,31037,31646,32520,33110,34793,36266,37755,38376,39076,39392,41913
"Salem",22881,24024,25635,27945,30223,32053,33580,32899,33876,34483,36350,36911,38267,38998,40125,41462,42369,43818,44648,46218,47476,49447,48661,49786
"Haninge",22310,23371,24954,26352,27730,29454,30218,31204,32397,33272,34319,34159,34603,34943,35920,36470,36805,38177,39450,40496,40957,41804,41688,44072
"Tyreso",23251,24835,26790,28992,31410,32971,33207,32955,34454,35712,37551,38225,38790,39733,40913,41715,41779,43514,45094,47488,48467,51891,51785,53726
"Upplands-Bro",23052,23845,25853,27335,29095,30436,30992,31347,32579,32781,33544,33484,34078,35220,36397,37799,38021,39195,39858,40632,40142,41595,41198,43771
"Nykvarn",,24283,26087,28658,29597,31201,32378,32803,34437,34920,36796,37349,38593,39552,41370,43028,42461,43105,43833,46342,47038,49556,49261,51574
