region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Upplands Vasby,562,557,5795,4851,-269,44,271,318,658,1196,1131,158,1021,399,653,1445,823,15528,1714,1314,453,2062,3563,3740
Vallentuna,68,-118,2985,-291,-1486,-173,1565,1348,4261,770,1138,1003,3063,1053,981,860,414,1572,1550,-10225,1018,1933,4071,6148
osteraker,-491,-248,-568,-114,3285,495,557,1029,1531,1121,-404,840,3091,3196,3545,2717,2249,1823,1546,3349,88,1483,4732,5528
Varmdo,-1273,-657,-436,-231,299,660,-1595,233,-55,1218,1458,2486,1291,995,2056,3121,1219,2434,3742,1470,-99,2092,4155,4912
Jarfalla,-775,256,578,79,-234,1006,624,3105,2067,790,385,608,874,-654,1444,3299,5448,2894,5351,945,2033,4822,4659,750
Ekero,-1280,2360,555,296,-346,-153,-434,377,548,730,846,953,2866,1444,908,1963,1753,1927,2918,746,588,571,3175,3403
Huddinge,-219,10284,-250,8027,-126,1019,-376,987,2329,2769,1805,1242,2500,2476,1710,1791,1776,1312,1169,3204,1647,1710,3707,4735
Botkyrka,530,9146,1269,8642,4216,734,30,675,2334,783,881,1181,2435,1759,1789,2213,425,305,3101,2842,567,863,2761,4924
Salem,477,9716,1694,404,256,332,90,954,1322,263,1065,777,1837,1395,1610,1677,2425,1681,1228,2766,1188,3171,2977,3058
Haninge,1875,2704,2227,627,301,59,141,1251,1336,1430,1470,1235,1852,585,910,1054,906,927,1103,1402,1008,461,2508,6515
Tyreso,480,324,200,580,348,1286,358,451,1223,1231,920,1079,1479,2188,2469,912,126,320,574,1787,-509,2049,3984,4346
Upplands-Bro,534,697,2206,218,425,-101,955,6148,1439,1862,383,440,1104,1242,1749,1316,-77,115,1253,1598,3744,1850,3082,4142
Nykvarn,,1676,7353,2328,678,317,14962,2016,3670,1387,101,207,1546,7651,2839,2774,6682,2882,3899,1990,1057,932,2122,1801
